"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2022-05-12"
"FL010","Flippen Lekka Spice / Hot & Spicy / 1kg","","10886","600969362859","FL-BLEND-HOT","Blended Spice / Hot & Spicy","","10964","","",1,"kg","43.4739623333"
"FL039","Flippen Lekka Spice / Savoury Herb Mix / 500g","","10899","600969362848","FL-BLEND-SH","Blended Spice / Savoury Herb Mix","","10967","","",0.5,"kg","65.2882733333"
"FL040","Flippen Lekka Spice / Savoury Herb Mix / 1kg","","10898","600969362849","FL-BLEND-SH","Blended Spice / Savoury Herb Mix","","10967","","",1,"kg","65.2882733333"
"FL039","Flippen Lekka Spice / Savoury Herb Mix / 500g","","10899","600969362848","FL-LVB-SH-500","Flippen Lekka - Labelled Vacuum Bag / Savoury Herb Mix / 500g","","10929","","",1,"pcs","0.7011322222"
"FL040","Flippen Lekka Spice / Savoury Herb Mix / 1kg","","10898","600969362849","FL-LVB-SH-1K","Flippen Lekka - Labelled Vacuum Bag / Savoury Herb Mix / 1kg","","10931","","",1,"pcs","0.9532222222"
"FL031","Flippen Lekka Spice / Curry Mix / 250ml","","11063","6009693620346","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.002,"kg","65.40000000000"
"FL031","Flippen Lekka Spice / Curry Mix / 250ml","","11063","6009693620346","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.002,"kg","98.00000000000"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.005,"kg","65.40000000000"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.005,"kg","98.00000000000"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","CINNAMON","Herbs / Cinnamon Sticks","835","10980","","",0.01,"kg","65.40000000000"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","LEAVES-BAY","Herbs / Bay Leaves","830","10986","6007097008302","",0.015,"kg","98.00000000000"
"FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","FL-PCAP-O","Printed Flip Lid Caps / Orange","","10841","","",1,"cap","0.794272222244444"
"FL013","Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","10878","600969362991","FL-PCAP-O","Printed Flip Lid Caps / Orange","","10841","","",1,"cap","0.794272222244444"
"FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","FL-PCAP-R","Printed Flip Lid Caps / Red","","10853","","",1,"cap","0.794272222244444"
"FL007","Flippen Lekka Spice / Hot & Spicy / 100ml","","10879","600969362998","FL-PCAP-R","Printed Flip Lid Caps / Red","","10853","","",1,"cap","0.794272222244444"
"FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","FL-PCAP-BRN","Printed Flip Lid Caps / Brown","","10849","","",1,"cap","0.794272222244444"
"FL001","Flippen Lekka Spice / Original Multi Purpose / 100ml","","10872","600969362996","FL-PCAP-BRN","Printed Flip Lid Caps / Brown","","10849","","",1,"cap","0.794272222244444"
"FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","FL-PCAP-M","Printed Flip Lid Caps / Maroon","","10850","","",1,"cap","0.794272222244444"
"FL025","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","10882","600969362895","FL-PCAP-M","Printed Flip Lid Caps / Maroon","","10850","","",1,"cap","0.794272222244444"
"FL035","Flippen Lekka Spice / Chutney Sprinkle / 200ml","","10894","600969362882","FL-PCAP-P","Printed Flip Lid Caps / Purple","","10854","","",1,"cap","0.794272222244444"
"FL034","Flippen Lekka Spice / Chutney Sprinkle / 100ml","","10896","600969362881","FL-PCAP-P","Printed Flip Lid Caps / Purple","","10854","","",1,"cap","0.794272222244444"
"FL038","Flippen Lekka Spice / Savoury Herb Mix / 200ml","","10887","600969362847","FL-PCAP-GRN","Printed Flip Lid Caps / Green","","10851","","",1,"cap","0.794272222244444"
"FL001-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 100ml","","11189","6009693629004","FL001","Flippen Lekka Spice / Original Multi Purpose / 100ml","","10872","600969362996","",12,"pcs","3.2771566667443153"
"FL038-12","12 Pack Flippen Lekka Spice / Savoury Herb Mix / 200ml","","11182","6009693629103","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL035-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 200ml","","11177","6009693629097","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL026-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","11193","6009693629080","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL014-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","11185","6009693629073","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL008-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 200ml","","11183","6009693629066","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL002-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 200ml","","11174","6009693629059","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"FL038-12","12 Pack Flippen Lekka Spice / Savoury Herb Mix / 200ml","","11182","6009693629103","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL034-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 100ml","","11179","6009693629042","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL035-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 200ml","","11177","6009693629097","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL031-12","12 Pack Flippen Lekka Spice / Curry Mix / 250ml","","11188","6009693629110","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL025-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","11175","6009693629035","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL026-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","11193","6009693629080","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL013-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","11180","6009693629028","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL014-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","11185","6009693629073","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL007-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 100ml","","11190","6009693629011","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL008-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 200ml","","11183","6009693629066","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL001-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 100ml","","11189","6009693629004","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL002-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 200ml","","11174","6009693629059","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL002-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 200ml","","11174","6009693629059","FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","",12,"pcs","3.260490000044215196"
"FL014-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","11185","6009693629073","FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","",12,"pcs","11.686770000044443996"
"FL008-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 200ml","","11183","6009693629066","FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","",12,"pcs","9.998954161705943996"
"FL026-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","11193","6009693629080","FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","",12,"pcs","11.691203333444444"
"FL035-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 200ml","","11177","6009693629097","FL035","Flippen Lekka Spice / Chutney Sprinkle / 200ml","","10894","600969362882","",12,"pcs","12.003003333444444"
"FL038-12","12 Pack Flippen Lekka Spice / Savoury Herb Mix / 200ml","","11182","6009693629103","FL038","Flippen Lekka Spice / Savoury Herb Mix / 200ml","","10887","600969362847","",12,"pcs","7.601470980075544"
"FL013-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","11180","6009693629028","FL013","Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","10878","600969362991","",12,"pcs","9.155956666744444"
"FL025-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","11175","6009693629035","FL025","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","10882","600969362895","",12,"pcs","7.947923333444444"
"FL034-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 100ml","","11179","6009693629042","FL034","Flippen Lekka Spice / Chutney Sprinkle / 100ml","","10896","600969362881","",12,"pcs","8.163803333444444"
"FL007-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 100ml","","11190","6009693629011","FL007","Flippen Lekka Spice / Hot & Spicy / 100ml","","10879","600969362998","",12,"pcs","7.015917427408244"
"FL034-12","12 Pack Flippen Lekka Spice / Chutney Sprinkle / 100ml","","11179","6009693629042","BX-12-100","12 x 100ml BOX ","","11228","","",1,"Box","3.50000000000"
"FL025-12","12 Pack Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 100ml","","11175","6009693629035","BX-12-100","12 x 100ml BOX ","","11228","","",1,"Box","3.50000000000"
"FL013-12","12 Pack Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","11180","6009693629028","BX-12-100","12 x 100ml BOX ","","11228","","",1,"Box","3.50000000000"
"FL007-12","12 Pack Flippen Lekka Spice / Hot & Spicy / 100ml","","11190","6009693629011","BX-12-100","12 x 100ml BOX ","","11228","","",1,"Box","3.50000000000"
"FL001-12","12 Pack Flippen Lekka Spice / Original Multi Purpose / 100ml","","11189","6009693629004","BX-12-100","12 x 100ml BOX ","","11228","","",1,"Box","3.50000000000"
"TT01-12","12 Pack Talinti Popcorn Sprinkle / Butter","","11196","6009693621008","TT001","Talinti Popcorn Sprinkle / Butter / 125ml","","10693","6009693620025","",12,"Units","5.77933333329899866"
"TT016-12","12 Pack Talinti Popcorn Sprinkle / Chutney","","11212","6009693621039","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT021-12","12 Pack Talinti Popcorn Sprinkle / Parmesan","","11210","6009693621046","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT026-12","12 Pack Talinti Popcorn Sprinkle / Cheese & Onion","","11211","6009693621015","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT031-12","12 Pack Talinti Popcorn Sprinkle / Cheese","","11209","6009693621022","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT06-12","12 Pack Talinti Popcorn Sprinkle / Salt & Vinegar","","11207","6009693621053","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT011-12","12 Pack Talinti Popcorn Sprinkle / Sour Cream & Chives","","11208","6009693621060","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT01-12","12 Pack Talinti Popcorn Sprinkle / Butter","","11196","6009693621008","BX-12-200","12 x 200ml BOX","","11167","","",1,"Box","4.20000000000"
"TT016-12","12 Pack Talinti Popcorn Sprinkle / Chutney","","11212","6009693621039","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT021-12","12 Pack Talinti Popcorn Sprinkle / Parmesan","","11210","6009693621046","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT026-12","12 Pack Talinti Popcorn Sprinkle / Cheese & Onion","","11211","6009693621015","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT031-12","12 Pack Talinti Popcorn Sprinkle / Cheese","","11209","6009693621022","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT06-12","12 Pack Talinti Popcorn Sprinkle / Salt & Vinegar","","11207","6009693621053","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT011-12","12 Pack Talinti Popcorn Sprinkle / Sour Cream & Chives","","11208","6009693621060","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT01-12","12 Pack Talinti Popcorn Sprinkle / Butter","","11196","6009693621008","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT06-12","12 Pack Talinti Popcorn Sprinkle / Salt & Vinegar","","11207","6009693621053","TT006","Talinti Popcorn Sprinkle / Salt & Vinegar / 125ml","","10699","6009693620087","",12,"Units","6.167333333304837"
"TT011-12","12 Pack Talinti Popcorn Sprinkle / Sour Cream & Chives","","11208","6009693621060","TT011","Talinti Popcorn Sprinkle / Sour Cream & Chives / 125ml","","10696","6009693620063","",12,"Units","6.4813333333032139"
"TT016-12","12 Pack Talinti Popcorn Sprinkle / Chutney","","11212","6009693621039","TT016","Talinti Popcorn Sprinkle / Chutney / 125ml","","10711","6009693620070","",12,"Units","6.05833333330419526"
"TT021-12","12 Pack Talinti Popcorn Sprinkle / Parmesan","","11210","6009693621046","TT021","Talinti Popcorn Sprinkle / Parmesan / 125ml","","10708","6009693620056","",12,"Units","8.78031713109626725"
"TT026-12","12 Pack Talinti Popcorn Sprinkle / Cheese & Onion","","11211","6009693621015","TT026","Talinti Popcorn Sprinkle / Cheese & Onion / 125ml","","10705","6009693620049","",12,"Units",4.285714286e-11
"TT031-12","12 Pack Talinti Popcorn Sprinkle / Cheese","","11209","6009693621022","TT031","Talinti Popcorn Sprinkle / Cheese / 125ml","","10702","6009693620032","",12,"Units","6.5443333332987085"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","",24,"pcs","3.260490000044215196"
"FL038-24","24 Pack Flippen Lekka Spice  / Savoury Herb Mix / 200ml","","11224","6009693629172","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL035-24","24 Pack Flippen Lekka Spice  / Chutney Sprinkle / 200ml","","11219","6009693629165","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL026-24","24 Pack Flippen Lekka Spice  / Red Wine & Garlic Sprinkle / 200ml","","11215","6009693629158","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL008-24","24 Pack Flippen Lekka Spice  / Hot & Spicy / 200ml","","11213","6009693629134","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL038-24","24 Pack Flippen Lekka Spice  / Savoury Herb Mix / 200ml","","11224","6009693629172","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL035-24","24 Pack Flippen Lekka Spice  / Chutney Sprinkle / 200ml","","11219","6009693629165","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL026-24","24 Pack Flippen Lekka Spice  / Red Wine & Garlic Sprinkle / 200ml","","11215","6009693629158","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL008-24","24 Pack Flippen Lekka Spice  / Hot & Spicy / 200ml","","11213","6009693629134","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","",24,"pcs","11.686770000044443996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","GBOX","Gift Pack - Empty","","11232","","",1,"Units","0.00000000000"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","",1,"pcs","3.260490000044215196"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","",1,"pcs","9.998954161705943996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","",1,"pcs","11.686770000044443996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","",1,"pcs","11.691203333444444"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL035","Flippen Lekka Spice / Chutney Sprinkle / 200ml","","10894","600969362882","",1,"pcs","12.003003333444444"